itemId:161839729, builtAt:-, bathrooms:1, netArea:18, metro:Беляево, floor:9, price:5990000, area:32, elevator:1 пасс., timeToMetro:10, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:-, balcony:нет
itemId:159208851, builtAt:1969, bathrooms:1, netArea:18, metro:Текстильщики, floor:6, price:5450000, area:36.7, elevator:1 пасс., timeToMetro:9, floors:12, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:159747034, builtAt:2006, bathrooms:1, netArea:19, metro:Коломенская, floor:3, price:8850000, area:38.6, elevator:2 пасс. + 1 груз., timeToMetro:15, floors:21, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:162978136, builtAt:2002, bathrooms:1, netArea:–, metro:Люблино, floor:1, price:1890000, area:12, elevator:1 пасс. + 1 груз., timeToMetro:12, floors:17, rooms:1, view:двор и улица, buildingType:монолитный, renovation:отсутствует, balcony:–
itemId:162978262, builtAt:2002, bathrooms:1, netArea:–, metro:Люблино, floor:1, price:2790000, area:19, elevator:1 пасс. + 1 груз., timeToMetro:12, floors:17, rooms:1, view:двор и улица, buildingType:монолитный, renovation:отсутствует, balcony:–
itemId:160572637, builtAt:1972, bathrooms:1, netArea:16.5, metro:Пражская, floor:1, price:2990000, area:23, elevator:1 пасс., timeToMetro:10, floors:9, rooms:1, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:156185765, builtAt:1952, bathrooms:1, netArea:11, metro:Первомайская, floor:1, price:3200000, area:15, elevator:–, timeToMetro:15, floors:6, rooms:1, view:улица, buildingType:кирпичный, renovation:евроремонт, balcony:–
itemId:24503572, builtAt:1956, bathrooms:1, netArea:14, metro:Рязанский проспект, floor:1, price:3250000, area:16, elevator:–, timeToMetro:10, floors:3, rooms:1, view:двор, buildingType:вторичка, renovation:евроремонт, balcony:–
itemId:162415667, builtAt:-, bathrooms:1, netArea:20, metro:Пятницкое шоссе, floor:4, price:3400000, area:37, elevator:–, timeToMetro:10, floors:4, rooms:1, view:двор, buildingType:вторичка, renovation:отсутствует, balcony:–
itemId:153740894, builtAt:1952, bathrooms:1, netArea:13, metro:Первомайская, floor:3, price:3400000, area:15, elevator:–, timeToMetro:12, floors:6, rooms:1, view:улица, buildingType:вторичка, renovation:косметический, balcony:–
itemId:160592753, builtAt:-, bathrooms:-, netArea:12.1, metro:Беляево, floor:5, price:3484500, area:17.5, elevator:2 пасс., timeToMetro:10, floors:15, rooms:1, view:двор, buildingType:монолитный, renovation:-, balcony:нет
