itemId:161161564, builtAt:1978, bathrooms:-, netArea:32, metro:Бибирево, floor:11, price:10500000, area:53.2, elevator:1 пасс. + 1 груз., timeToMetro:4, floors:16, rooms:2, view:двор, buildingType:панельный дом, renovation:евроремонт, balcony:1 балк.
itemId:161842371, builtAt:1962, bathrooms:1, netArea:32, metro:Сокол, floor:5, price:8400000, area:43.9, elevator:–, timeToMetro:10, floors:5, rooms:2, view:двор, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:157780055, builtAt:2013, bathrooms:1, netArea:44, metro:Молодежная, floor:13, price:17850000, area:80, elevator:–, timeToMetro:6, floors:40, rooms:2, view:улица, buildingType:монолитный, renovation:отсутствует, balcony:1 лодж.
itemId:162258240, builtAt:-, bathrooms:1, netArea:20.4, metro:Щелковская, floor:5, price:4290000, area:31.2, elevator:нет, timeToMetro:15, floors:5, rooms:2, view:двор, buildingType:панельный дом, renovation:-, balcony:1 балк.
itemId:155074577, builtAt:-, bathrooms:1, netArea:38, metro:Автозаводская, floor:3, price:4800000, area:40, elevator:1 пасс. + 1 груз., timeToMetro:10, floors:4, rooms:2, view:улица, buildingType:вторичка, renovation:дизайнерский, balcony:–
itemId:155518292, builtAt:1967, bathrooms:-, netArea:29, metro:Текстильщики, floor:1, price:4750000, area:43, elevator:1 пасс. + 1 груз., timeToMetro:15, floors:9, rooms:2, view:двор, buildingType:вторичка, renovation:отсутствует, balcony:–
itemId:155075625, builtAt:-, bathrooms:1, netArea:38, metro:ЗИЛ, floor:3, price:4800000, area:40, elevator:1 пасс. + 1 груз., timeToMetro:10, floors:4, rooms:2, view:улица, buildingType:вторичка, renovation:дизайнерский, balcony:–
itemId:160701545, builtAt:1967, bathrooms:-, netArea:24, metro:Царицыно, floor:1, price:4900000, area:40, elevator:–, timeToMetro:16, floors:12, rooms:2, view:двор, buildingType:панельный дом, renovation:-, balcony:–
itemId:160669735, builtAt:1971, bathrooms:1, netArea:21, metro:Братиславская, floor:2, price:4900000, area:34.1, elevator:2 пасс., timeToMetro:14, floors:9, rooms:2, view:двор, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:162770381, builtAt:-, bathrooms:-, netArea:23.8, metro:Выхино, floor:6, price:4990000, area:37.8, elevator:2 пасс., timeToMetro:11, floors:12, rooms:2, view:двор, buildingType:панельный дом, renovation:-, balcony:1 балк.
itemId:162780096, builtAt:-, bathrooms:-, netArea:23.8, metro:Рязанский проспект, floor:6, price:4990000, area:37.8, elevator:2 пасс., timeToMetro:9, floors:12, rooms:2, view:двор, buildingType:панельный дом, renovation:-, balcony:1 балк.
itemId:150473529, builtAt:-, bathrooms:1, netArea:22.8, metro:Перово, floor:5, price:5200000, area:37.4, elevator:1 пасс., timeToMetro:15, floors:9, rooms:2, view:–, buildingType:вторичка, renovation:косметический, balcony:1 балк.
itemId:161747305, builtAt:1966, bathrooms:1, netArea:28, metro:Царицыно, floor:1, price:5220000, area:48, elevator:–, timeToMetro:5, floors:5, rooms:2, view:двор, buildingType:блочный, renovation:отсутствует, balcony:–
itemId:161197365, builtAt:-, bathrooms:-, netArea:28, metro:Щелковская, floor:3, price:5300000, area:40, elevator:2 пасс., timeToMetro:10, floors:12, rooms:2, view:двор, buildingType:вторичка, renovation:отсутствует, balcony:1 балк.
itemId:163128558, builtAt:-, bathrooms:1, netArea:25.2, metro:Рязанский проспект, floor:1, price:5300000, area:41, elevator:–, timeToMetro:7, floors:5, rooms:2, view:двор, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:161083672, builtAt:1974, bathrooms:1, netArea:25, metro:Печатники, floor:3, price:5400000, area:43, elevator:1 пасс., timeToMetro:13, floors:9, rooms:2, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:–
itemId:161251624, builtAt:1967, bathrooms:-, netArea:31, metro:Щелковская, floor:1, price:5350000, area:42, elevator:–, timeToMetro:15, floors:5, rooms:2, view:–, buildingType:панельный дом, renovation:-, balcony:–
itemId:152933287, builtAt:1973, bathrooms:-, netArea:29, metro:Выхино, floor:1, price:5400000, area:45.6, elevator:1 пасс. + 1 груз., timeToMetro:15, floors:12, rooms:2, view:–, buildingType:блочный, renovation:отсутствует, balcony:1 лодж.
itemId:154209523, builtAt:1964, bathrooms:-, netArea:29.7, metro:Лермонтовский проспект, floor:3, price:5400000, area:45.5, elevator:–, timeToMetro:20, floors:5, rooms:2, view:двор, buildingType:вторичка, renovation:косметический, balcony:1 балк.
itemId:158822933, builtAt:1965, bathrooms:1, netArea:23, metro:Кузьминки, floor:7, price:5500000, area:38, elevator:1 пасс., timeToMetro:6, floors:9, rooms:2, view:двор, buildingType:блочный, renovation:косметический, balcony:1 балк.
itemId:160159261, builtAt:1961, bathrooms:1, netArea:31.7, metro:Рязанский проспект, floor:1, price:5500000, area:41.2, elevator:–, timeToMetro:14, floors:5, rooms:2, view:улица, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:157635798, builtAt:1966, bathrooms:-, netArea:23, metro:Щелковская, floor:4, price:5499999, area:40, elevator:1 пасс., timeToMetro:13, floors:12, rooms:2, view:улица, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:160006236, builtAt:1961, bathrooms:-, netArea:20, metro:Измайловская, floor:5, price:5490000, area:40, elevator:–, timeToMetro:18, floors:5, rooms:2, view:двор, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:153189326, builtAt:-, bathrooms:-, netArea:22.7, metro:Бабушкинская, floor:1, price:5500000, area:38.1, elevator:1 пасс. + 1 груз., timeToMetro:15, floors:12, rooms:2, view:двор, buildingType:вторичка, renovation:отсутствует, balcony:–
itemId:161922405, builtAt:1970, bathrooms:-, netArea:23, metro:Рязанский проспект, floor:2, price:5500000, area:38.7, elevator:1 пасс., timeToMetro:6, floors:14, rooms:2, view:двор, buildingType:блочный, renovation:косметический, balcony:1 лодж.
itemId:162924058, builtAt:1961, bathrooms:1, netArea:30.8, metro:Щелковская, floor:2, price:5500000, area:46, elevator:–, timeToMetro:2, floors:5, rooms:2, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:162102936, builtAt:1972, bathrooms:-, netArea:29, metro:Первомайская, floor:1, price:5590000, area:45, elevator:2 пасс., timeToMetro:7, floors:14, rooms:2, view:двор, buildingType:блочный, renovation:косметический, balcony:–
itemId:163051002, builtAt:1969, bathrooms:-, netArea:27, metro:Выхино, floor:10, price:5550000, area:40, elevator:1 пасс., timeToMetro:6, floors:12, rooms:2, view:двор, buildingType:блочный, renovation:косметический, balcony:1 балк.
itemId:161033939, builtAt:2008, bathrooms:1, netArea:35.8, metro:Первомайская, floor:23, price:16500000, area:54, elevator:1 пасс. + 1 груз., timeToMetro:9, floors:25, rooms:2, view:двор, buildingType:кирпично-монолитный, renovation:евроремонт, balcony:нет
itemId:159374368, builtAt:1973, bathrooms:1, netArea:34, metro:Римская, floor:12, price:15000000, area:55, elevator:1 пасс. + 1 груз., timeToMetro:1, floors:12, rooms:2, view:двор и улица, buildingType:кирпичный, renovation:косметический, balcony:1 лодж.
itemId:158696141, builtAt:1973, bathrooms:-, netArea:29, metro:Чертановская, floor:6, price:7300000, area:48, elevator:–, timeToMetro:14, floors:12, rooms:2, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:159183444, builtAt:1971, bathrooms:-, netArea:27.4, metro:Люблино, floor:4, price:5600000, area:40.1, elevator:–, timeToMetro:4, floors:5, rooms:2, view:–, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:160739518, builtAt:1970, bathrooms:-, netArea:30, metro:Выхино, floor:2, price:5600000, area:44, elevator:1 пасс., timeToMetro:10, floors:9, rooms:2, view:улица, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:159728173, builtAt:-, bathrooms:1, netArea:–, metro:Перово, floor:2, price:5550000, area:44, elevator:нет, timeToMetro:17, floors:5, rooms:2, view:двор, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:162828727, builtAt:1968, bathrooms:-, netArea:31, metro:Щелковская, floor:4, price:5600000, area:46, elevator:1 пасс., timeToMetro:7, floors:9, rooms:2, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:161974285, builtAt:1959, bathrooms:-, netArea:26, metro:ВДНХ, floor:1, price:5600000, area:41.5, elevator:1 пасс., timeToMetro:15, floors:5, rooms:2, view:двор, buildingType:кирпичный, renovation:отсутствует, balcony:–
itemId:159315826, builtAt:1973, bathrooms:-, netArea:30.1, metro:Выхино, floor:2, price:5700000, area:51.9, elevator:1 пасс. + 1 груз., timeToMetro:15, floors:12, rooms:2, view:улица, buildingType:блочный, renovation:косметический, balcony:–
itemId:159316067, builtAt:-, bathrooms:-, netArea:30, metro:Выхино, floor:6, price:5700000, area:44, elevator:1 пасс., timeToMetro:7, floors:9, rooms:2, view:–, buildingType:панельный дом, renovation:-, balcony:1 балк.
itemId:159829520, builtAt:1967, bathrooms:-, netArea:28, metro:Локомотив, floor:1, price:5700000, area:44, elevator:1 пасс., timeToMetro:12, floors:9, rooms:2, view:двор, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:162773935, builtAt:1970, bathrooms:1, netArea:28, metro:Шоссе Энтузиастов, floor:2, price:5700000, area:45, elevator:1 пасс., timeToMetro:15, floors:12, rooms:2, view:двор, buildingType:блочный, renovation:евроремонт, balcony:1 балк.
itemId:162337647, builtAt:1961, bathrooms:1, netArea:31, metro:Войковская, floor:4, price:5700000, area:45, elevator:–, timeToMetro:10, floors:5, rooms:2, view:двор, buildingType:блочный, renovation:отсутствует, balcony:1 балк.
itemId:162569203, builtAt:-, bathrooms:-, netArea:26.7, metro:Текстильщики, floor:2, price:5650000, area:46, elevator:1 пасс., timeToMetro:10, floors:12, rooms:2, view:двор, buildingType:блочный, renovation:косметический, balcony:нет
itemId:159998135, builtAt:1968, bathrooms:1, netArea:24, metro:Новогиреево, floor:7, price:5700000, area:41, elevator:1 пасс., timeToMetro:20, floors:9, rooms:2, view:двор, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:159783640, builtAt:1958, bathrooms:-, netArea:33.8, metro:Коптево, floor:1, price:5700000, area:54.7, elevator:–, timeToMetro:19, floors:5, rooms:2, view:улица, buildingType:кирпичный, renovation:отсутствует, balcony:–
itemId:155773944, builtAt:-, bathrooms:-, netArea:32, metro:Новогиреево, floor:2, price:5699999, area:48, elevator:1 пасс., timeToMetro:5, floors:5, rooms:2, view:двор, buildingType:панельный дом, renovation:косметический, balcony:нет
itemId:155473327, builtAt:1971, bathrooms:-, netArea:28.2, metro:Новогиреево, floor:3, price:5700000, area:44.7, elevator:1 пасс., timeToMetro:15, floors:9, rooms:2, view:двор, buildingType:вторичка, renovation:косметический, balcony:–
itemId:160165024, builtAt:1962, bathrooms:1, netArea:29, metro:Рязанский проспект, floor:4, price:5700000, area:43.1, elevator:–, timeToMetro:9, floors:5, rooms:2, view:двор, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:160604076, builtAt:1976, bathrooms:-, netArea:30, metro:Шипиловская, floor:1, price:5700000, area:46, elevator:1 пасс., timeToMetro:12, floors:12, rooms:2, view:двор и улица, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:160695197, builtAt:-, bathrooms:-, netArea:22.3, metro:Перово, floor:11, price:5700000, area:38.8, elevator:1 пасс., timeToMetro:10, floors:12, rooms:2, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:160440224, builtAt:1964, bathrooms:1, netArea:24, metro:Калужская, floor:11, price:5700000, area:40, elevator:1 пасс., timeToMetro:18, floors:12, rooms:2, view:двор, buildingType:блочный, renovation:косметический, balcony:1 балк.
itemId:160723305, builtAt:1982, bathrooms:-, netArea:28, metro:Бульвар Дмитрия Донского, floor:4, price:5800000, area:42, elevator:1 пасс., timeToMetro:8, floors:9, rooms:2, view:–, buildingType:панельный дом, renovation:отсутствует, balcony:1 лодж.
itemId:161540009, builtAt:-, bathrooms:-, netArea:30.8, metro:Тушинская, floor:4, price:5800000, area:44.4, elevator:1 пасс., timeToMetro:15, floors:9, rooms:2, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:159316085, builtAt:-, bathrooms:1, netArea:32, metro:Нагорная, floor:9, price:5750000, area:44.3, elevator:1 пасс., timeToMetro:15, floors:9, rooms:2, view:двор, buildingType:панельный дом, renovation:-, balcony:1 балк.
itemId:157475515, builtAt:-, bathrooms:1, netArea:27, metro:Новогиреево, floor:9, price:5800000, area:41, elevator:1 пасс., timeToMetro:15, floors:9, rooms:2, view:двор, buildingType:кирпичный, renovation:косметический, balcony:1 балк.
itemId:159204431, builtAt:1970, bathrooms:-, netArea:30.6, metro:Новогиреево, floor:2, price:5800000, area:47.1, elevator:1 пасс., timeToMetro:15, floors:9, rooms:2, view:двор, buildingType:панельный дом, renovation:косметический, balcony:–
itemId:161069699, builtAt:1963, bathrooms:1, netArea:29, metro:Люблино, floor:1, price:5800000, area:43, elevator:–, timeToMetro:6, floors:5, rooms:2, view:двор, buildingType:кирпичный, renovation:косметический, balcony:–
itemId:161782623, builtAt:-, bathrooms:-, netArea:36, metro:Славянский бульвар, floor:10, price:13500000, area:67, elevator:1 пасс. + 1 груз., timeToMetro:5, floors:25, rooms:2, view:двор и улица, buildingType:кирпично-монолитный, renovation:косметический, balcony:1 лодж.
itemId:162727663, builtAt:1956, bathrooms:1, netArea:35.1, metro:Свиблово, floor:3, price:12500000, area:57.4, elevator:–, timeToMetro:15, floors:5, rooms:2, view:двор, buildingType:кирпичный, renovation:дизайнерский, balcony:1 балк.
itemId:161033787, builtAt:1985, bathrooms:-, netArea:34, metro:Раменки, floor:16, price:13000000, area:58, elevator:1 пасс. + 1 груз., timeToMetro:13, floors:17, rooms:2, view:двор и улица, buildingType:панельный дом, renovation:евроремонт, balcony:1 лодж.
