itemId:151758737, builtAt:2014, bathrooms:1, netArea:46, metro:Щелковская, floor:11, price:15500000, area:84, elevator:–, timeToMetro:9, floors:14, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:162443921, builtAt:-, bathrooms:-, netArea:48, metro:Охотный ряд, floor:4, price:24000000, area:71, elevator:1 пасс., timeToMetro:5, floors:8, rooms:3, view:двор и улица, buildingType:сталинский, renovation:косметический, balcony:нет
itemId:163076904, builtAt:1977, bathrooms:-, netArea:50, metro:Ясенево, floor:3, price:13300000, area:78, elevator:1 пасс. + 1 груз., timeToMetro:11, floors:16, rooms:3, view:двор и улица, buildingType:панельный дом, renovation:евроремонт, balcony:1 балк. + 1 лодж.
itemId:161768434, builtAt:1992, bathrooms:-, netArea:46.1, metro:Лермонтовский проспект, floor:9, price:12900, area:75.1, elevator:1 пасс. + 1 груз., timeToMetro:3, floors:14, rooms:3, view:двор, buildingType:панельный дом, renovation:евроремонт, balcony:1 балк. + 1 лодж.
itemId:163292893, builtAt:2000, bathrooms:-, netArea:45, metro:Братиславская, floor:6, price:13500, area:76, elevator:1 пасс. + 1 груз., timeToMetro:12, floors:17, rooms:3, view:двор и улица, buildingType:монолитный, renovation:евроремонт, balcony:1 балк.
itemId:163272163, builtAt:2001, bathrooms:1, netArea:48, metro:Братиславская, floor:16, price:17699, area:84, elevator:2 пасс. + 2 груз., timeToMetro:5, floors:25, rooms:3, view:двор, buildingType:монолитный, renovation:евроремонт, balcony:2 лодж.
itemId:162194844, builtAt:1979, bathrooms:1, netArea:37, metro:Лермонтовский проспект, floor:5, price:5000000, area:58, elevator:1 пасс., timeToMetro:19, floors:9, rooms:3, view:улица, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:163291727, builtAt:1976, bathrooms:1, netArea:35, metro:Люблино, floor:9, price:5000000, area:52, elevator:1 пасс., timeToMetro:11, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:163052360, builtAt:1976, bathrooms:-, netArea:38.3, metro:Домодедовская, floor:2, price:5100000, area:59.9, elevator:1 пасс., timeToMetro:18, floors:9, rooms:3, view:–, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:162726182, builtAt:-, bathrooms:-, netArea:46, metro:Бунинская аллея, floor:4, price:5350000, area:64, elevator:нет, timeToMetro:8, floors:5, rooms:3, view:двор и улица, buildingType:кирпичный, renovation:-, balcony:1 балк.
itemId:158588486, builtAt:-, bathrooms:1, netArea:35, metro:Щелковская, floor:1, price:5400000, area:51, elevator:нет, timeToMetro:15, floors:9, rooms:3, view:–, buildingType:вторичка, renovation:косметический, balcony:1 балк.
itemId:155200128, builtAt:-, bathrooms:1, netArea:–, metro:Автозаводская, floor:4, price:5500000, area:53, elevator:1 пасс., timeToMetro:10, floors:5, rooms:3, view:двор, buildingType:вторичка, renovation:отсутствует, balcony:–
itemId:158539952, builtAt:1966, bathrooms:-, netArea:42, metro:Щелковская, floor:4, price:5500000, area:58.1, elevator:–, timeToMetro:18, floors:5, rooms:3, view:двор и улица, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:152246547, builtAt:-, bathrooms:1, netArea:48, metro:Автозаводская, floor:4, price:5500000, area:53, elevator:–, timeToMetro:10, floors:5, rooms:3, view:двор, buildingType:вторичка, renovation:косметический, balcony:–
itemId:153021787, builtAt:-, bathrooms:1, netArea:55, metro:Автозаводская, floor:3, price:5800000, area:60, elevator:–, timeToMetro:10, floors:4, rooms:3, view:улица, buildingType:вторичка, renovation:отсутствует, balcony:–
itemId:161336566, builtAt:-, bathrooms:-, netArea:44, metro:Октябрьское поле, floor:-1, price:5899999, area:63, elevator:нет, timeToMetro:5, floors:3, rooms:3, view:двор, buildingType:кирпичный, renovation:-, balcony:нет
itemId:156795675, builtAt:1970, bathrooms:-, netArea:34, metro:Выхино, floor:9, price:5900000, area:51, elevator:1 пасс., timeToMetro:12, floors:9, rooms:3, view:двор, buildingType:вторичка, renovation:косметический, balcony:1 балк.
itemId:163122537, builtAt:1973, bathrooms:-, netArea:44.6, metro:Пражская, floor:3, price:5950000, area:59, elevator:1 пасс., timeToMetro:14, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:161730170, builtAt:-, bathrooms:-, netArea:34, metro:Выхино, floor:2, price:6000000, area:50, elevator:1 пасс., timeToMetro:14, floors:9, rooms:3, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:153516426, builtAt:1972, bathrooms:-, netArea:34, metro:Выхино, floor:2, price:6000000, area:51, elevator:1 пасс., timeToMetro:11, floors:9, rooms:3, view:двор и улица, buildingType:вторичка, renovation:косметический, balcony:1 лодж.
itemId:160908127, builtAt:1961, bathrooms:-, netArea:37, metro:Нижегородская, floor:1, price:6000000, area:52, elevator:–, timeToMetro:14, floors:5, rooms:3, view:двор, buildingType:кирпичный, renovation:косметический, balcony:–
