itemId:160175203, builtAt:-, bathrooms:1, netArea:79, metro:Трубная, floor:3, price:43470000, area:99, elevator:1 пасс., timeToMetro:5, floors:6, rooms:4, view:двор и улица, buildingType:кирпичный, renovation:евроремонт, balcony:1 балк.
itemId:156912709, builtAt:1978, bathrooms:-, netArea:55.6, metro:Владыкино, floor:1, price:11800000, area:86, elevator:1 пасс., timeToMetro:11, floors:12, rooms:4, view:двор и улица, buildingType:вторичка, renovation:евроремонт, balcony:1 лодж.
itemId:155677348, builtAt:-, bathrooms:2, netArea:73.5, metro:Рижская, floor:4, price:22200000, area:119.8, elevator:1 пасс. + 1 груз., timeToMetro:10, floors:6, rooms:4, view:двор и улица, buildingType:монолитный, renovation:-, balcony:1 балк.
itemId:158164291, builtAt:2005, bathrooms:3, netArea:140, metro:Октябрьское поле, floor:4, price:59650, area:216, elevator:нет, timeToMetro:10, floors:18, rooms:4, view:улица, buildingType:кирпично-монолитный, renovation:дизайнерский, balcony:4 лодж.
itemId:159688777, builtAt:-, bathrooms:-, netArea:48, metro:Выхино, floor:9, price:6900000, area:64, elevator:нет, timeToMetro:15, floors:9, rooms:4, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:163057231, builtAt:1975, bathrooms:-, netArea:46.8, metro:Домодедовская, floor:8, price:6990000, area:63, elevator:1 пасс., timeToMetro:17, floors:9, rooms:4, view:двор, buildingType:панельный дом, renovation:-, balcony:1 лодж.
itemId:160071117, builtAt:-, bathrooms:-, netArea:46, metro:Шипиловская, floor:1, price:7000000, area:65, elevator:1 пасс., timeToMetro:3, floors:9, rooms:4, view:двор, buildingType:панельный дом, renovation:-, balcony:1 балк.
itemId:161803512, builtAt:1973, bathrooms:-, netArea:44, metro:Улица Академика Янгеля, floor:7, price:7100000, area:64, elevator:1 пасс., timeToMetro:13, floors:9, rooms:4, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 балк.
itemId:18462862, builtAt:1982, bathrooms:-, netArea:44, metro:Новогиреево, floor:1, price:7200000, area:64, elevator:1 пасс., timeToMetro:12, floors:9, rooms:4, view:двор, buildingType:вторичка, renovation:косметический, balcony:–
itemId:161020252, builtAt:-, bathrooms:-, netArea:47.7, metro:Новогиреево, floor:9, price:7400000, area:63, elevator:1 пасс., timeToMetro:15, floors:9, rooms:4, view:двор, buildingType:панельный дом, renovation:-, balcony:1 лодж.
itemId:162311862, builtAt:1967, bathrooms:-, netArea:47, metro:Рязанский проспект, floor:9, price:7450000, area:65, elevator:1 пасс., timeToMetro:16, floors:9, rooms:4, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 лодж.
itemId:163126039, builtAt:-, bathrooms:-, netArea:44, metro:Планерная, floor:7, price:7500000, area:62.1, elevator:1 пасс., timeToMetro:11, floors:9, rooms:4, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 балк.
itemId:160472985, builtAt:-, bathrooms:-, netArea:43.8, metro:Планерная, floor:1, price:7500000, area:63.7, elevator:1 пасс., timeToMetro:13, floors:9, rooms:4, view:двор, buildingType:панельный дом, renovation:-, balcony:–
itemId:159932377, builtAt:1980, bathrooms:-, netArea:48, metro:Марьино, floor:8, price:7500000, area:64, elevator:–, timeToMetro:20, floors:9, rooms:4, view:двор, buildingType:панельный дом, renovation:отсутствует, balcony:1 лодж.
itemId:158075824, builtAt:-, bathrooms:-, netArea:47, metro:Пражская, floor:9, price:7500000, area:63, elevator:1 пасс., timeToMetro:12, floors:9, rooms:4, view:улица, buildingType:панельный дом, renovation:отсутствует, balcony:1 лодж.
itemId:151872876, builtAt:1975, bathrooms:-, netArea:45, metro:Люблино, floor:2, price:7600000, area:64, elevator:1 пасс., timeToMetro:3, floors:9, rooms:4, view:–, buildingType:вторичка, renovation:косметический, balcony:–
itemId:40353263, builtAt:-, bathrooms:-, netArea:43.2, metro:Улица Академика Янгеля, floor:9, price:7600000, area:63.4, elevator:2 пасс., timeToMetro:14, floors:9, rooms:4, view:двор и улица, buildingType:вторичка, renovation:косметический, balcony:1 лодж.
itemId:162825131, builtAt:-, bathrooms:-, netArea:47, metro:Новогиреево, floor:9, price:7600000, area:63, elevator:1 пасс., timeToMetro:7, floors:9, rooms:4, view:двор, buildingType:панельный дом, renovation:-, balcony:1 лодж.
itemId:152476221, builtAt:1958, bathrooms:-, netArea:50, metro:Рязанский проспект, floor:1, price:7700000, area:72, elevator:–, timeToMetro:12, floors:4, rooms:4, view:двор, buildingType:вторичка, renovation:косметический, balcony:–
itemId:160003158, builtAt:-, bathrooms:-, netArea:44, metro:Люблино, floor:9, price:7800000, area:65, elevator:1 пасс., timeToMetro:5, floors:9, rooms:4, view:двор, buildingType:панельный дом, renovation:-, balcony:2 балк.
itemId:161966115, builtAt:1977, bathrooms:-, netArea:43.8, metro:Люблино, floor:8, price:7800000, area:65.3, elevator:1 пасс., timeToMetro:12, floors:9, rooms:4, view:двор, buildingType:панельный дом, renovation:косметический, balcony:1 лодж.
itemId:159280876, builtAt:1966, bathrooms:-, netArea:48, metro:Медведково, floor:1, price:7800000, area:65, elevator:1 пасс., timeToMetro:10, floors:9, rooms:4, view:двор, buildingType:блочный, renovation:-, balcony:1 лодж.
itemId:161914328, builtAt:1970, bathrooms:-, netArea:46.5, metro:Выхино, floor:7, price:7850000, area:63, elevator:1 пасс., timeToMetro:5, floors:9, rooms:4, view:–, buildingType:панельный дом, renovation:евроремонт, balcony:1 балк.
